Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens,ID,loan_default
132792,Short Term,751,668990,4 years,Rent,other,6132.25,14.7,NA,5,0,61199,214742,0,0,1020,0
340604,Long Term,618,928701,10+ years,Home Mortgage,Debt Consolidation,21205.52,14.4,NA,5,0,291137,368808,0,0,1100,0
765160,Long Term,719,2643242,7 years,Home Mortgage,Debt Consolidation,34582.47,20.5,47,19,0,249755,489302,0,0,1110,1
109802,Short Term,745,474069,< 1 year,Rent,Debt Consolidation,1497.39,11,NA,2,0,91048,186604,0,0,1120,1
545886,Short Term,718,1565182,7 years,Rent,Debt Consolidation,41477,15,6,16,0,80465,296714,0,0,1140,0
472098,Long Term,692,2316575,10+ years,Rent,Debt Consolidation,24517.22,28.2,NA,9,0,454176,968506,0,0,1170,0
176462,Short Term,,,10+ years,Home Mortgage,Home Improvements,14223.59,26.5,NA,7,0,171703,1080552,0,0,1220,0
278058,Short Term,,,7 years,Home Mortgage,Debt Consolidation,18706.64,15.9,NA,10,0,207423,1171566,0,0,1280,0
752290,Long Term,649,2320375,3 years,Rent,Debt Consolidation,39252.86,13.4,16,13,0,431053,513502,0,0,1300,0
262724,Long Term,695,1229072,4 years,Rent,Debt Consolidation,21508.76,21.8,NA,5,0,337725,394218,0,0,1330,0
462088,Short Term,,,7 years,Home Mortgage,Debt Consolidation,17759.3,14.8,NA,13,0,627418,1603712,0,0,1370,0
460152,Short Term,,,10+ years,Own Home,Debt Consolidation,21330.92,20.5,6,13,0,1220978,5396072,0,0,1380,0
286462,Long Term,719,1380426,10+ years,Home Mortgage,Debt Consolidation,27378.62,15.7,75,10,0,177916,335522,0,0,1420,0
196460,Short Term,746,942590,2 years,Home Mortgage,Debt Consolidation,15160.1,23.5,NA,8,0,138700,410718,0,0,1460,0
109538,Short Term,697,567606,7 years,Home Mortgage,Debt Consolidation,5770.68,14.3,62,10,0,86716,151206,0,0,1480,0
605726,Short Term,748,3609145,10+ years,Home Mortgage,Debt Consolidation,43610.7,23,59,10,0,378423,475772,0,0,1640,0
99999999,Short Term,741,1288523,2 years,Home Mortgage,Debt Consolidation,9041.34,16.2,NA,4,0,95855,116468,0,0,1650,0
314226,Long Term,723,2638454,1 year,Home Mortgage,other,34959.43,18.2,54,10,0,662815,969034,0,0,1690,0
64966,Short Term,723,1224968,n/a,Home Mortgage,other,23172.21,44,48,16,0,858154,1344574,0,0,1700,0
99999999,Short Term,725,1048363,10+ years,Rent,Debt Consolidation,14152.91,21,NA,11,1,210045,299156,1,0,1730,0
99999999,Short Term,743,756352,10+ years,Home Mortgage,Home Improvements,11849.54,18.4,NA,9,1,46341,496870,1,0,1800,0
25806,Short Term,685,742976,8 years,Rent,other,6377.16,7.1,35,5,0,8189,47432,0,0,1820,1
261800,Short Term,738,1488536,4 years,Rent,Debt Consolidation,21087.72,16.5,45,8,0,178220,274780,0,0,1900,0
107536,Short Term,,,< 1 year,Rent,Debt Consolidation,22176.61,13.5,NA,7,0,107483,197868,0,0,1930,1
437668,Short Term,749,2683693,5 years,Home Mortgage,Debt Consolidation,5993.55,21.5,NA,7,0,326496,562584,0,0,1950,0
520982,Long Term,724,1031111,10+ years,Rent,Debt Consolidation,17013.17,15,NA,12,0,267976,475178,0,0,1980,0
322872,Long Term,7080,985245,10+ years,Home Mortgage,Home Improvements,10895.17,17.5,NA,7,0,106894,357698,0,0,2010,1
79398,Short Term,718,761824,2 years,Rent,Debt Consolidation,13459.03,15.5,NA,13,0,159315,317526,0,0,2080,0
171842,Short Term,724,612199,2 years,Rent,Debt Consolidation,6734.17,11.8,NA,12,0,330714,558228,0,0,2090,0
205854,Short Term,717,1898860,10+ years,Home Mortgage,Debt Consolidation,31647.73,22.3,15,6,0,195738,251284,0,0,2130,0
284152,Short Term,700,1054519,10+ years,Home Mortgage,Debt Consolidation,15202.66,14,36,12,0,182780,366146,0,0,2160,0
152966,Short Term,7080,1334902,4 years,Home Mortgage,Debt Consolidation,10845.96,17.1,41,13,0,82593,302654,0,0,2220,1
86724,Short Term,716,580469,4 years,Home Mortgage,Debt Consolidation,7352.62,4.9,NA,6,0,109687,182226,0,0,2250,0
763840,Short Term,742,1639776,10+ years,Home Mortgage,Debt Consolidation,23640.18,21.4,NA,9,0,606461,1141800,0,0,2280,0
142846,Short Term,750,654227,10+ years,Home Mortgage,Debt Consolidation,16246.71,17.2,16,9,0,53694,112662,0,0,2310,1
99999999,Short Term,699,656849,3 years,Rent,Debt Consolidation,3848.07,11.7,60,10,0,30552,198682,0,0,2340,0
177628,Long Term,709,843771,5 years,Rent,Debt Consolidation,5027.59,10.3,NA,8,0,94221,172062,0,0,2350,1
732028,Short Term,737,1724193,10+ years,Home Mortgage,Debt Consolidation,32041.22,18.5,21,14,0,628425,1017698,0,0,2380,0
660132,Long Term,722,1634323,10+ years,Home Mortgage,Debt Consolidation,18931.03,16.7,NA,17,1,452713,927762,0,1,2390,0
25894,Short Term,748,1024727,8 years,Rent,Debt Consolidation,12723.73,10.2,NA,12,0,30590,492008,0,0,2400,0
429264,Short Term,735,1816571,8 years,Own Home,Debt Consolidation,34060.73,11.1,37,20,0,387353,1520398,0,0,2440,0
448404,Short Term,746,1166220,10+ years,Home Mortgage,Debt Consolidation,19339.72,14.9,20,17,0,306907,504064,0,0,2560,1
537196,Long Term,654,2551643,10+ years,Home Mortgage,Debt Consolidation,55072.83,27,NA,16,0,734597,1466542,0,0,2580,0
337656,Short Term,744,1205322,10+ years,Home Mortgage,Debt Consolidation,12254.05,11.4,NA,6,0,41876,119416,0,0,2600,0
436172,Long Term,744,1054747,4 years,Home Mortgage,Home Improvements,13623.76,22.2,NA,19,0,387315,2156110,0,0,2660,0
178046,Short Term,716,2815781,10+ years,Home Mortgage,Debt Consolidation,18537.35,22.5,NA,9,0,486248,578666,0,0,2680,0
99999999,Short Term,721,805733,10+ years,Home Mortgage,Debt Consolidation,12757.55,15.9,45,9,0,93347,195448,0,0,2690,0
430100,Short Term,739,1448655,10+ years,Home Mortgage,Debt Consolidation,23782.11,15.4,NA,13,0,400178,716188,0,0,2720,0
118998,Short Term,686,576327,10+ years,Home Mortgage,Debt Consolidation,10037.7,11.1,NA,11,0,320834,518144,0,0,2760,0
309540,Short Term,,,9 years,Home Mortgage,Debt Consolidation,26895.83,16.5,NA,12,0,79686,262108,0,0,2810,0
249568,Short Term,,,3 years,Home Mortgage,Debt Consolidation,12209.21,14.1,NA,17,0,300048,569536,0,0,2850,0
110902,Short Term,697,2202917,5 years,Rent,Debt Consolidation,30290.18,11.5,NA,20,0,104291,377366,0,0,2880,0
108526,Short Term,743,1312045,7 years,Home Mortgage,Other,7380.17,19,56,10,1,71953,108504,0,0,2930,0
523248,Long Term,668,1468662,8 years,Own Home,Debt Consolidation,39286.68,14.8,NA,9,0,621585,906466,0,0,2980,0
391468,Short Term,742,629850,< 1 year,Rent,Debt Consolidation,10025.16,17.8,14,8,0,57570,169620,0,0,3020,0
268664,Long Term,718,1160178,< 1 year,Rent,Debt Consolidation,16049.11,13.3,NA,9,0,318839,818576,0,0,3110,0
448712,Long Term,696,1264602,n/a,Home Mortgage,Debt Consolidation,33722.91,16.7,22,28,2,328054,895906,0,2,3130,0
334686,Short Term,742,963490,10+ years,Home Mortgage,Debt Consolidation,12284.45,20.5,58,15,0,406220,863060,0,0,3140,0
99999999,Short Term,728,311372,< 1 year,Rent,Debt Consolidation,1873.4,10.5,NA,3,0,92378,122958,0,0,3160,0
107712,Short Term,744,576688,10+ years,Rent,Debt Consolidation,7256.67,13.5,NA,15,0,263321,671572,0,0,3190,1
215006,Short Term,,,2 years,Rent,Debt Consolidation,20639.13,11.9,74,9,0,76551,284130,0,0,3270,1
170962,Short Term,710,598082,6 years,Rent,Debt Consolidation,7426.15,12.8,5,14,0,117211,622534,0,0,3320,0
340362,Short Term,,,10+ years,Rent,Debt Consolidation,22936.8,23.3,35,19,0,427025,1242340,0,0,3340,1
88198,Short Term,741,825968,< 1 year,Home Mortgage,Debt Consolidation,3407.08,14.2,NA,9,0,112727,725098,0,0,3410,0
533698,Long Term,699,1853298,1 year,Rent,Debt Consolidation,30270.61,21.6,72,18,0,342209,589644,0,0,3490,0
316514,Short Term,,,< 1 year,Rent,Debt Consolidation,12437.59,16.9,NA,13,0,413060,582560,0,0,3500,0
563068,Long Term,623,2094807,< 1 year,Rent,Debt Consolidation,35960.92,12.1,NA,17,0,580203,917774,0,0,3510,1
64526,Short Term,747,185782,< 1 year,Rent,Debt Consolidation,4799.4,10.1,NA,8,0,72257,172128,0,0,3550,0
657294,Short Term,691,2270652,4 years,Rent,Debt Consolidation,24031.01,11.3,40,12,0,405327,811998,0,0,3600,0
99999999,Short Term,743,2688462,1 year,Rent,Debt Consolidation,32037.42,20.5,34,14,0,198094,749606,0,0,3620,0
99999999,Short Term,738,992256,7 years,Rent,Debt Consolidation,15793.37,18.2,14,11,0,348878,738496,0,0,3650,0
268004,Short Term,750,867996,10+ years,Rent,Debt Consolidation,21410.53,23,75,15,0,309776,1203664,0,0,3670,0
273856,Long Term,614,821826,10+ years,Rent,Debt Consolidation,8766.22,16.4,NA,4,0,146262,234586,0,0,3690,0
99999999,Short Term,734,950399,3 years,Home Mortgage,Debt Consolidation,17344.72,14.2,NA,11,0,139897,217448,0,0,3740,0
469678,Long Term,667,2250246,6 years,Home Mortgage,Debt Consolidation,51380.56,14.6,NA,43,0,979526,1543102,0,0,3770,0
319726,Short Term,749,952185,2 years,Home Mortgage,Debt Consolidation,17059.91,21.2,NA,8,0,299725,778140,0,0,3810,0
79948,Short Term,7410,230147,n/a,Rent,Debt Consolidation,4372.66,8.9,NA,11,0,110086,242792,0,0,3840,1
161656,Short Term,749,874874,9 years,Home Mortgage,Debt Consolidation,12226.5,16.1,19,10,0,159676,394218,0,0,3920,0
87274,Short Term,719,753692,10+ years,Rent,Debt Consolidation,4013.37,8.2,NA,8,0,101042,259424,0,0,3940,0
456126,Short Term,,,10+ years,Rent,Debt Consolidation,23213.82,18.6,NA,8,0,333640,519244,0,0,3950,1
260810,Short Term,,,2 years,Home Mortgage,Debt Consolidation,13076.56,19,NA,11,1,180329,258742,1,0,4060,0
539176,Long Term,7120,1154801,10+ years,Home Mortgage,Home Improvements,14338.54,13.9,NA,7,0,256025,726594,0,0,4070,1
242264,Short Term,744,584345,5 years,Home Mortgage,Debt Consolidation,12417.45,21.7,NA,10,0,212306,836154,0,0,4100,1
251196,Short Term,740,1051536,n/a,Home Mortgage,Debt Consolidation,23133.83,48.7,20,16,0,300295,452716,0,0,4120,0
266882,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,20287.44,23.4,49,12,0,255018,853402,0,0,4150,0
87472,Short Term,695,679896,4 years,Home Mortgage,Business Loan,6872.68,10.2,NA,4,0,19912,133210,0,0,4230,0
99999999,Long Term,615,1282462,10+ years,Home Mortgage,Debt Consolidation,40611.36,22.9,NA,21,0,1238287,1740046,0,0,4270,0
99999999,Long Term,693,1885959,10+ years,Home Mortgage,Debt Consolidation,8046.88,21.8,35,10,0,315932,923758,0,0,4330,0
268664,Short Term,727,899954,8 years,Home Mortgage,Debt Consolidation,17324.2,19.5,NA,13,0,223725,460130,0,0,4350,1
188166,Short Term,747,2408554,10+ years,Rent,Debt Consolidation,7587.08,16.5,NA,7,1,85975,143440,1,0,4370,0
767624,Short Term,733,2083825,< 1 year,Home Mortgage,Debt Consolidation,22574.85,12.6,NA,12,0,434910,1243396,0,0,4400,0
403964,Short Term,744,1763561,10+ years,Home Mortgage,Debt Consolidation,17929.35,18.4,NA,11,0,389101,843678,0,0,4410,0
134794,Short Term,736,927523,n/a,Rent,Debt Consolidation,11439.33,16.8,49,7,1,72371,130306,1,0,4440,0
134596,Short Term,723,1356201,1 year,Home Mortgage,Debt Consolidation,18308.78,21.5,10,19,0,286596,707586,0,0,4460,0
311850,Long Term,723,694564,10+ years,Own Home,Debt Consolidation,12270.77,18.8,NA,6,0,167238,338536,0,0,4470,0
99999999,Short Term,722,1450441,n/a,Home Mortgage,Debt Consolidation,15229.64,14,37,10,0,439812,816134,0,0,4480,0
375650,Short Term,724,768398,10+ years,Rent,Debt Consolidation,12857.68,19,NA,10,0,254391,435072,0,0,4510,0
781022,Long Term,653,2004253,10+ years,Home Mortgage,Debt Consolidation,35993.22,26.4,48,17,0,622554,1115862,0,0,4540,1
216832,Long Term,,,2 years,Rent,Debt Consolidation,25920.56,14,15,8,1,97052,197164,1,0,4560,0
131934,Short Term,717,531734,1 year,Rent,Debt Consolidation,16395.1,8.4,NA,9,0,120612,160512,0,0,4580,1
158026,Short Term,716,1091854,10+ years,Home Mortgage,Home Improvements,11009.55,14.3,7,7,0,87438,188540,0,0,4620,0
773388,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,32008.73,29.2,NA,8,0,1515592,2321308,0,0,4630,0
311608,Short Term,,,4 years,Rent,Debt Consolidation,19115.14,15.9,NA,8,0,120460,255464,0,0,4730,0
99999999,Short Term,737,1324452,1 year,Rent,Debt Consolidation,23619.47,12.8,25,30,0,108908,298100,0,0,4740,0
324346,Short Term,742,954370,4 years,Rent,Debt Consolidation,17019.63,10,34,17,0,121448,404096,0,0,4800,0
99999999,Short Term,729,594301,n/a,Own Home,Debt Consolidation,8468.87,35.9,20,12,3,220001,434698,0,3,4810,0
455906,Long Term,727,3562348,5 years,Home Mortgage,other,49576.13,19.4,NA,14,1,974415,1399838,0,1,4840,0
388168,Short Term,744,2234856,10+ years,Home Mortgage,Debt Consolidation,40041.17,21,18,9,0,681587,896852,0,0,4860,1
648516,Short Term,730,1400205,6 years,Home Mortgage,Debt Consolidation,21353.15,19,69,8,0,265905,332156,0,0,4900,0
448932,Short Term,738,1473317,8 years,Own Home,Debt Consolidation,17557.14,14.7,25,10,0,160569,321112,0,0,4920,0
129756,Short Term,745,1270036,1 year,Home Mortgage,Home Improvements,25675.84,26.5,NA,9,0,684893,858242,0,0,4970,1
221320,Short Term,740,860130,10+ years,Home Mortgage,Debt Consolidation,5390.11,14,21,11,1,117952,378334,1,0,4980,1
66572,Short Term,747,785707,2 years,Home Mortgage,other,13618.82,8.3,NA,7,0,16302,132990,0,0,4990,0
752004,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,21714.15,20.1,3,11,0,572356,864028,0,0,5020,1
219054,Short Term,723,1067154,9 years,Home Mortgage,Debt Consolidation,24455.66,15.4,29,8,0,100814,130284,0,0,5040,1
132616,Short Term,743,1527144,10+ years,Home Mortgage,Debt Consolidation,40342.32,22.4,25,16,0,159030,814770,0,0,5060,0
43054,Short Term,747,490713,2 years,Rent,Debt Consolidation,8346.32,21.7,81,10,0,75962,240988,0,0,5090,0
264836,Long Term,703,1277066,9 years,Home Mortgage,Medical Bills,14473.44,17.2,NA,7,0,40280,249370,0,0,5280,0
748154,Short Term,668,7669160,5 years,Rent,other,12078.87,20.9,NA,7,2,46721,314556,1,1,5300,0
132000,Short Term,713,440895,4 years,Home Mortgage,Debt Consolidation,6797.06,11.9,NA,11,0,207347,301246,0,0,5330,0
224598,Short Term,,,5 years,Home Mortgage,Other,16325.94,30.5,7,22,1,107616,2009788,0,1,5350,0
526460,Long Term,688,1041979,3 years,Home Mortgage,Debt Consolidation,28306.96,30.8,NA,20,0,157434,197494,0,0,5370,1
99999999,Short Term,739,1029439,10+ years,Rent,Debt Consolidation,12696.18,14.5,20,13,0,76760,305426,0,0,5480,0
99999999,Long Term,719,1090543,10+ years,Rent,Debt Consolidation,26718.18,20.9,NA,15,0,264461,407176,0,0,5490,0
130152,Short Term,,,4 years,Home Mortgage,Home Improvements,9727.62,21.3,NA,6,0,109972,436084,0,0,5580,0
351714,Short Term,740,837235,8 years,Home Mortgage,Debt Consolidation,6551.2,9.5,NA,6,0,204858,422092,0,0,5600,0
110462,Short Term,738,1526384,5 years,Rent,Debt Consolidation,5075.28,23.4,69,6,0,175864,245344,0,0,5610,0
266926,Short Term,749,922127,6 years,Home Mortgage,Debt Consolidation,10066.58,38.3,70,17,0,234346,673332,0,0,5620,0
48884,Short Term,,,9 years,Rent,other,7996.72,13.8,24,11,0,157472,224554,0,0,5630,1
337150,Long Term,721,1119936,6 years,Rent,Debt Consolidation,15959.05,12.5,15,9,0,166573,484594,0,0,5660,0
225082,Short Term,,,8 years,Own Home,Debt Consolidation,26566.56,32.4,25,18,0,130568,1511884,0,0,5670,1
150788,Short Term,739,2009326,1 year,Rent,Buy House,11787.98,31,NA,4,0,51338,540320,0,0,5710,0
225192,Short Term,,,2 years,Rent,Business Loan,24796.71,19.7,NA,8,0,113487,238898,0,0,5720,1
552750,Long Term,723,954750,10+ years,Home Mortgage,Debt Consolidation,3389.41,29.2,NA,12,1,169404,797390,0,1,5760,0
762454,Short Term,695,1467484,10+ years,Home Mortgage,Home Improvements,10199.01,17.4,54,6,0,129884,674454,0,0,5780,0
304062,Long Term,636,2344600,< 1 year,Rent,Debt Consolidation,9163.51,14.8,21,15,0,440838,743006,0,0,5790,0
316998,Long Term,702,836494,10+ years,Rent,Debt Consolidation,19936.7,25.6,NA,17,0,293778,499532,0,0,5870,0
671836,Short Term,707,1318695,< 1 year,Home Mortgage,Debt Consolidation,18022.26,21.1,31,9,0,146965,348700,0,0,5910,0
175010,Short Term,703,785973,10+ years,Home Mortgage,Debt Consolidation,9890.26,12.1,NA,5,0,182115,234036,0,0,5930,0
429440,Long Term,674,1383599,n/a,Home Mortgage,Home Improvements,11760.62,33.5,49,9,0,206853,318076,0,0,5940,0
109582,Short Term,744,1514224,4 years,Home Mortgage,Debt Consolidation,10637.34,10.1,NA,7,0,23294,85382,0,0,5960,0
483604,Long Term,731,1213853,10+ years,Home Mortgage,Debt Consolidation,20938.76,31.3,49,17,0,310802,624800,0,0,5970,0
341308,Short Term,741,669503,4 years,Rent,Debt Consolidation,9317.22,11.4,NA,6,0,379601,646404,0,0,5980,1
77000,Short Term,711,674044,1 year,Own Home,Take a Trip,9942.32,20.2,NA,5,1,70794,160710,1,0,6020,0
99999999,Short Term,745,1620814,6 years,Home Mortgage,Debt Consolidation,27553.8,9.6,8,12,0,388987,1047486,0,0,6190,0
397738,Short Term,736,1622106,4 years,Home Mortgage,Debt Consolidation,25413.07,15.9,50,16,0,494836,966218,0,0,6250,0
329142,Short Term,,,3 years,Home Mortgage,Debt Consolidation,17811.36,19.8,74,8,0,234308,293920,0,0,6340,0
61358,Short Term,726,756884,10+ years,Own Home,Buy a Car,19048.26,21.5,27,9,0,134615,251812,0,0,6380,0
218394,Short Term,,,9 years,Home Mortgage,Debt Consolidation,15784.44,13.7,24,10,0,172121,878020,0,0,6390,0
195712,Short Term,,,5 years,Rent,Debt Consolidation,25070.69,14.7,23,18,0,154850,251130,0,0,6470,0
32230,Short Term,,,2 years,Rent,other,5679.1,11.3,23,6,1,52364,79464,0,0,6500,1
356444,Long Term,713,1269808,10+ years,Home Mortgage,small_business,30189.48,22.1,NA,7,0,762489,955504,0,0,6510,1
322740,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,43985,20.7,NA,16,1,446329,891022,1,0,6570,0
660924,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,23848.23,23.6,48,18,0,1964923,3321406,0,0,6630,1
484484,Short Term,,,3 years,Rent,Debt Consolidation,39551.54,11.9,77,28,0,559056,1219086,0,0,6650,0
351076,Long Term,716,758024,6 years,Home Mortgage,Debt Consolidation,8780.47,16.5,NA,8,1,97983,144892,1,0,6700,0
322520,Short Term,7090,1648896,10+ years,Home Mortgage,Debt Consolidation,29680.28,16.6,NA,8,0,254828,337634,0,0,6800,1
671506,Short Term,706,1784423,10+ years,Home Mortgage,Debt Consolidation,44610.48,22.8,NA,14,0,548663,935660,0,0,6850,1
288420,Long Term,687,1286490,2 years,Rent,Debt Consolidation,4373.99,12.2,NA,6,0,109459,278564,0,0,6990,1
99999999,Short Term,700,1663906,4 years,Home Mortgage,Debt Consolidation,33694.03,18.9,61,9,3,107141,275704,0,0,7030,0
407132,Long Term,668,1233765,3 years,Rent,Buy a Car,2868.62,12.4,NA,12,0,38589,312466,0,0,7120,0
128942,Short Term,712,1633202,10+ years,Home Mortgage,Debt Consolidation,44505.03,21.2,9,13,0,72884,120384,0,0,7150,0
434016,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,36280.5,26.1,21,10,0,1194188,1632532,0,0,7200,0
393668,Short Term,,,10+ years,Rent,Debt Consolidation,30908.44,17.6,NA,15,0,492290,708994,0,0,7210,0
111122,Short Term,693,767752,7 years,Rent,Business Loan,4184.18,10.1,NA,3,0,35701,86658,0,0,7290,1
259270,Short Term,741,1306193,10+ years,Home Mortgage,Debt Consolidation,33090.21,21,NA,10,0,498579,607046,0,0,7300,0
178948,Short Term,740,1352344,3 years,Rent,other,25581.98,17.9,14,10,0,79952,183304,0,0,7310,1
259820,Short Term,,,< 1 year,Rent,Debt Consolidation,19026.98,9.9,NA,8,1,181678,385308,1,0,7380,0
107998,Short Term,750,634182,2 years,Rent,Debt Consolidation,14210.86,18.8,NA,21,0,9177,2125178,0,0,7390,0
450912,Long Term,717,1168272,4 years,Rent,Debt Consolidation,19568.48,7.6,NA,8,0,144780,315722,0,0,7400,1
320078,Short Term,,,n/a,Home Mortgage,Debt Consolidation,11364.85,19.1,15,12,0,393015,770000,0,0,7470,0
347028,Short Term,743,1685889,4 years,Home Mortgage,Debt Consolidation,8836.9,16.9,NA,13,1,127224,403612,1,0,7570,0
283426,Long Term,738,1355688,10+ years,Home Mortgage,other,9015.31,22.8,NA,7,0,342665,549538,0,0,7600,0
322476,Short Term,711,1262550,1 year,Own Home,Business Loan,24198.59,17.5,11,9,0,321024,477158,0,0,7620,0
54824,Long Term,747,830813,10+ years,Home Mortgage,Buy a Car,5130.38,24.2,NA,13,0,76665,1431650,0,0,7670,0
182116,Short Term,,,10+ years,Rent,Debt Consolidation,3389.22,21.9,69,6,0,92663,264286,0,0,7740,0
46156,Short Term,654,1640745,6 years,Home Mortgage,Business Loan,31721.26,16.7,63,8,0,164008,199914,0,0,7750,1
67496,Short Term,725,582825,10+ years,Rent,Debt Consolidation,5925.34,5.5,NA,5,0,33706,112486,0,0,7760,0
138380,Short Term,7350,485792,1 year,Rent,Debt Consolidation,8055.81,17.1,NA,8,0,117838,339394,0,0,7770,1
172436,Short Term,740,1340222,7 years,Own Home,Debt Consolidation,14965.92,19.8,NA,6,7,178410,398816,3,4,7780,0
107932,Short Term,735,1211782,6 years,Home Mortgage,Home Improvements,28173.96,28.5,NA,9,0,521322,658988,0,0,7810,0
217888,Short Term,735,1223144,8 years,Rent,Debt Consolidation,9163.51,10.8,NA,8,0,117952,207570,0,0,7830,0
99999999,Short Term,745,681226,2 years,Rent,Debt Consolidation,8095.33,12.7,NA,9,0,173812,322520,0,0,7850,0
261448,Long Term,7190,940785,1 year,Rent,Debt Consolidation,11681.39,13.3,20,15,0,237937,683672,0,0,7870,1
99999999,Long Term,725,1698885,7 years,Home Mortgage,Debt Consolidation,29164.24,13.1,NA,10,0,589988,898876,0,0,7960,0
399014,Short Term,722,2909945,2 years,Home Mortgage,Home Improvements,51409.06,12.8,42,12,0,938923,1248192,0,0,7970,1
116710,Short Term,,,9 years,Own Home,Debt Consolidation,10125.67,13.1,68,12,0,914812,2021470,0,0,7980,1
